Registration,Make,Model,Color,Year,EngineSize
AA07AMM,Nissan,Note,Turquoise,2007,1500
AAC792H,Hyundai,I10,Silver,1975,1396
AAY452D,Volkswagen,Up,Purple,1979,1600
AB01MFL,Peugeot,Bipper,Turquoise,2001,1400
AB15UVT,Vauxhall,Viva,Grey,2015,1497
AB19NWG,Kia,Sportage,Gold,2019,1398
ABV496J,Volvo,V40,Gold,1973,1797
ABX857D,Citroen,C4,Gold,1979,1599
ABY761G,Abarth,595,Gold,1976,1499
AC03BXC,Honda,Jazz,Silver,2003,1495
AC04VYH,Mini,One,Black,2004,2097
AC08RRN,Peugeot,2008,Grey,2008,1498
AC15VJX,Vauxhall,Astra,Blue,2015,1598
ACD586D,Peugeot,107,Black,1979,1599
ACF678C,Vauxhall,Crossland,Green,1980,1399
ACK119D,Ford,Fiesta,Yellow,1979,1198
ACR989D,Ford,Fiesta,Silver,1979,1298
AD03RAM,Vauxhall,Corsa,Gold,2003,1596
AD04RLG,Volkswagen,Tiguan,Gold,2004,1596
AD05GDL,Ford,Fiesta,Red,2005,1500
AD07VYV,Kia,Ceed,Purple,2007,1397
AD16LVH,Ford,Fiesta,Purple,2016,1297
ADN691F,Volkswagen,Golf,White,1977,1600
ADY998J,Suzuki,Vitara,Grey,1973,1495
AE03CHR,Hyundai,I10,Yellow,2003,1800
AE03MUU,Ford,Fiesta,Yellow,2003,1499
AE09JVF,Peugeot,206,Purple,2009,1497
AE10BUA,Ford,Focus,Yellow,2010,1599
AEW457H,Renault,Kadjar,Turquoise,1975,1896
AF02NCK,Seat,Leon,Yellow,2002,1799
AF04DFE,Audi,A1,Yellow,2004,1797
AF06JXP,Vauxhall,Zafira,Black,2006,1699
AF07YEG,Kia,Picanto,Purple,2007,1599
AFA959K,Ford,Mondeo,Orange,1972,1797
AFH963K,Volkswagen,Golf,Grey,1972,1496
AFT613E,Hyundai,Ix35,Green,1978,1795
AG14UTF,Nissan,Note,Blue,2014,1498
AG20TLU,Nissan,Micra,Purple,2020,1600
AGN305F,Volkswagen,Touran,Turquoise,1977,1595
AGT954E,Lexus,Rx400,Turquoise,1978,1697
